apkname,actividades,proveedor_contenido,receptor_mensajes,servicios,urls,filtros_intent,api_restringidas,api_sospechosas,permisos_solicitados,permisos_usados,uses-feature
br.com.zadanet,10,0,0,0,4,1,8,4,5,4,0
com.andromo.dev314543,10,1,0,1,0,1,4,3,3,2,1
com.rnstudio.mzain,3,0,0,0,0,1,4,2,2,2,0
com.ringtonewq,20,0,4,9,0,13,0,2,12,0,0
b4a,16,0,2,2,0,2,6,10,8,5,0
com.djair.browser,3,0,1,1,0,4,0,2,10,0,0
appinventor.ai_sovernigo,4,0,0,0,0,1,24,8,4,3,0
ar.nerd.detector,2,0,1,1,0,1,9,9,1,1,0
com.bathroomdesigns.sninofox99,3,0,0,0,0,1,4,2,2,2,0
com.appall,4,0,2,0,0,4,26,4,2,2,0
OTbearAnswerET.ghongcarpente0402,11,0,1,1,0,4,0,2,8,1,0
br.com,5,0,1,0,0,2,3,1,3,0,0
com.PoolBreakPro.taiqiu,24,0,0,4,0,3,0,3,15,4,0
com.androidemu.wfeoewh897AAFC21CF985E1C799DA2803AC12C8AED0598B,12,0,0,1,0,3,0,6,12,3,0
com.CaraMenghilangkanBauKetiak.AsidiqMedia,3,0,0,0,0,1,9,3,2,2,0
com.nestik.foodandbeverages,3,0,0,0,0,1,8,2,2,2,0
com.OrigamiPaperTutorials.Tarra,3,0,0,0,0,1,4,2,2,2,0
com.TeknikMesinMotor.globalmandiri,3,0,0,0,0,1,8,2,2,2,0
com.ms.brain,6,0,1,2,0,1,5,7,9,5,0
com.andromo.dev137436,21,0,1,20,0,9,2,4,4,3,1
com.jlur.xoqz,2,0,3,1,0,15,0,0,30,0,0
com.dollfurnituredesignideas.djamila,3,0,0,0,0,1,4,2,2,2,0
com.bumg.bjcs,2,0,3,1,0,14,0,0,30,0,0
com.BeautyHighHeels.sofiaa,3,0,0,0,0,1,4,2,2,2,0
com.aspergillus,3,0,0,0,0,1,12,3,0,0,0
com.androidstudioapps,3,0,0,0,0,1,4,5,3,3,0
com.apps1a,2,0,0,0,0,1,0,1,6,3,0
com.aag,24,0,1,0,0,3,8,7,11,6,0
com.ayurveda,4,0,0,0,0,1,4,6,6,5,0
com,0,0,1,1,0,1,0,1,0,0,0
apps.infinite,6,0,0,0,0,1,15,4,2,2,0
com.hkinfoway,6,0,12,10,0,14,4,7,38,9,0
com.cjjsj.jisuanji,7,1,1,4,0,1,0,3,11,0,0
com.goyal.fishinghkapk,1,0,0,0,0,1,0,0,7,0,0
