,apkname,actividades,proveedor_contenido,receptor_mensajes,servicios,urls,filtros_intent,api_restringidas,api_sospechosas,permisos_solicitados,permisos_usados,uses-feature,malware
4504,com.pw.screenclickerD13434619640C432E4C58C3E0934EBCC8ADE17F6,19,1,4,5,0,8,0,2,10,0,0,True
4505,com.HandicartfromCoconutShell.adielsoft,3,0,0,0,0,1,8,2,2,2,0,True
4506,com.mtjsshop.app,10,2,3,4,0,20,0,2,21,0,0,True
4507,com.haiyuan.shicinaming,10,1,0,0,0,2,0,6,7,3,0,True
4508,com.appybuilder.richardrahmawan.ErieSuzan,3,0,0,0,0,1,38,11,6,5,0,True
4509,com.BlackandWhitePianoTiles,2,0,0,0,0,1,4,5,5,3,0,False
4510,com.radmxrt.oumyasminnn,2,0,0,0,0,1,7,2,7,3,0,True
4511,com.and,4,0,1,0,0,2,0,4,13,4,0,False
4512,com.leahr.leahr,5,1,1,5,0,1,0,3,7,0,0,True
4513,com.abbc.vovn.hurx,4,0,3,2,0,10,3,7,22,5,1,True
4514,com.aidn,32,1,7,19,10,20,1,15,33,10,0,False
4515,IMiIh.RsCu.OrPrUPq,26,0,4,9,0,26,0,0,83,0,0,True
4516,com.OrangMedia.desainhighheels2017,3,0,0,0,0,1,8,2,2,2,0,True
4517,com.TrikPacaranJarakJauh.sutriyanidroid,3,0,0,0,0,1,8,2,2,2,0,True
4518,com.amongst.impose,16,0,4,4,0,12,3,12,33,13,0,True
4519,com.lqd.cameraF9497A0C62C382526119CCE254BECC35D2C05B70,8,1,1,5,0,1,0,3,11,0,2,True
4520,club.amase.mocubed,7,0,0,0,1,1,5,7,6,2,0,False
4521,com.paladin.defencehero2kjkl,38,0,1,3,0,3,17,8,11,5,0,True
4522,be.zen,1,0,1,2,0,21,0,2,1,0,0,False
4523,com.looyctrr.gkdadbya,10,0,6,4,3,19,0,11,43,9,0,True
4524,com.Cigdem.status,8,0,0,0,0,1,14,6,8,4,0,True
4525,com.android.little87A17EBD50A8D0FC2A42410E22B51A431BFFE31C,4,0,3,1,0,9,0,0,19,0,0,True
4526,com.BoyKidClotes.myapp,3,0,0,0,0,1,4,2,2,2,0,True
4527,com.andromo.dev258392,9,1,0,1,0,1,4,3,3,2,1,False
4528,com.enlightment.appslockerqs,16,0,4,5,0,6,0,3,8,0,0,True
4529,com.bxm,17,0,0,0,0,1,0,6,15,3,0,False
4530,com,2,0,0,0,0,1,6,3,1,1,1,False
4531,br.com.presume.presumeapp,10,0,0,0,0,2,14,5,6,3,2,False
4532,com.newminisevenqioftf.bfesf,11,0,1,4,0,3,0,5,17,2,0,True
4533,com.digital_and_dreams.android.gjdjh68DCF0661C108A1C14E666144CB7DD6817A3C3FF,17,0,1,2,0,5,0,2,15,0,3,True
4534,appinventor.ai_saithao1990,3,0,0,0,0,1,30,7,3,3,0,False
4535,com,2,0,0,0,0,1,8,2,14,5,0,False
4536,com.cherrystudio,9,0,0,0,0,1,10,3,2,2,0,False
4537,com.BenLin.BLIPCamera,9,0,0,3,0,1,3,5,10,8,2,False
4538,com.elfswipe619B3C5EFAB4413CBD2A78D0F26819BCF945C016,7,1,3,5,0,10,12,7,15,5,1,True
4539,com.jogjapub.wiringhomeinstalation,3,0,0,0,0,1,9,3,2,2,0,True
4540,com.empiris.BulughulMaramDanTerjemah,3,0,0,0,0,1,5,2,2,2,0,True
4541,com.battery.b,2,0,0,1,0,1,11,5,5,2,0,False
4542,browsermine.com,2,0,1,1,0,1,13,10,5,3,0,False
4543,com.akkad,3,0,0,0,0,1,8,2,2,2,0,False
4544,com.camineo.exploralite,3,1,0,0,0,1,0,3,8,5,0,False
4545,com.devnitiya.sdcardphotorecovery,2,0,0,0,0,1,6,5,2,2,0,True
4546,com.RapidoDroid.synscaninit2,2,0,0,0,0,1,11,2,2,1,0,False
4547,com.appmk.book,7,0,0,0,0,3,0,2,8,3,0,False
4548,appinventor.ai_RokarTV10.Audio_sharing,3,0,0,0,3,1,28,8,4,4,0,False
4549,app.android.ninestore434E5FF115997B282840E246F60ACDED1A2B6879,45,2,6,15,4,38,2,8,38,11,0,False
4550,com.amar,6,0,0,0,0,1,4,2,2,2,0,False
4551,com.android.liulinger3DCD9EAB597A27BA608DA6FBE6F0F177AE585CF7,4,0,3,1,0,9,0,0,19,0,0,True
4552,com.onekey.fasttakephoto,14,0,4,3,0,9,0,3,13,0,3,True
4553,com.kidsoft.vibratenumber,6,0,1,2,0,2,1,6,16,9,0,True
4554,com.cloud.healthy,7,0,1,4,0,3,0,1,16,0,0,True
4555,com.drawluna.badjiboel,2,0,0,0,0,1,7,2,7,3,0,True
4556,com.hjl.liangzuan,7,0,0,0,0,1,17,7,5,2,1,True
4557,cn.com.modernmedia,20,0,1,1,2,6,23,9,12,5,0,False
4558,com.ManTrauser2018.amardroid,3,0,0,0,0,1,8,2,2,2,0,True
4559,com.dcc.newminisixliuone.laidianshanshanshan,9,0,2,6,0,3,0,6,16,3,3,True
4560,com.qmtiku.categoryId_69,26,0,3,4,0,7,0,6,17,3,0,True
4561,com.jumbledsheep.funnyphoto,9,0,3,1,0,9,9,7,12,7,0,True
4562,com,2,0,0,0,0,1,6,3,3,1,2,False
4563,com.appspot.swisscodemonkeq,15,0,2,2,0,8,5,5,8,2,0,True
4564,appinventor.ai_pedro_martinezlr.My_SupportXMR_Hashrate_V4,2,1,0,0,0,1,37,9,6,3,0,False
4565,com.cjwifi,20,1,10,21,0,19,0,3,20,0,0,True
4566,com.allensandiego.xtreamerremote,4,0,0,0,0,1,15,5,4,3,1,False
4567,com.android.xueyou,4,0,3,1,0,9,0,0,19,0,0,True
4568,best.hindi,6,0,0,0,0,1,4,3,5,4,0,False
4569,com.campusmaps,2,0,0,0,0,1,8,4,7,2,0,False
4570,com.ahfdesing,2,0,0,0,0,1,10,3,2,2,0,False
4571,com.fldv.sldb.kvkb,4,0,3,2,0,10,3,7,22,5,1,True
4572,com.h49512087.dfs,1,1,1,1,0,9,0,1,9,0,2,True
4573,com.qpfz.zspk.ozcu,7,0,2,2,0,8,3,6,14,4,0,True
4574,com.dlsi,2,0,0,0,0,1,9,5,10,3,0,False
4575,com.dpgj01.a0707,5,0,4,3,0,19,2,11,29,6,0,True
4576,aimoxiu.theme.mx2d93c000fb9c6f842bc6e3f1ebe48221,1,0,0,0,0,1,0,5,8,4,0,False
4577,appinventor.ai_antonio.Dumont,2,0,0,0,0,1,30,7,3,3,0,True
4578,com.chillingo.ibomberdefencepacific.androi,3,0,2,3,0,5,2,3,24,4,1,True
4579,com.android.cug,1,0,2,2,0,4,2,4,10,2,0,False
4580,com.android,4,0,3,1,0,9,0,0,19,0,0,False
4581,com.android.pentatonix2BA2EB1DB17FBA2D24245D49E5E7D70C2353567F,7,0,4,2,0,22,0,0,27,0,0,True
4582,com.deeroid,1,0,0,0,0,1,12,3,0,0,0,False
4583,com.andromo.dev162819,16,1,0,1,0,1,4,3,3,2,1,False
4584,com.charles.sgd,5,0,3,5,0,4,0,3,15,0,3,True
4585,com.cubemagic,3,0,0,1,0,2,10,3,2,2,1,False
4586,com.couchbase,4,0,0,0,1,1,12,5,2,1,1,False
4587,com.magiccatlivewallpaper1092456,7,0,1,2,0,4,17,7,8,4,1,True
4588,cn.android.setting,2,0,2,2,0,4,2,9,30,10,2,True
4589,com,2,0,1,0,0,2,10,4,2,2,0,False
4590,com.aguelmous,6,1,0,0,1,1,7,3,4,2,0,False
4591,com.bdenney,3,0,0,0,0,2,18,4,2,1,0,False
